2024-12-28 09:27:55,415 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:27:55,713 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:27:55,722 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:28:08,558 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:28:08,560 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:28:08,561 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:28:09,159 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:28:34,181 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:28:34,181 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:28:36,876 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:43,279 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:29:43,279 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:29:43,288 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:43,293 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:29:43,293 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:29:43,302 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:43,307 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:29:43,307 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:29:43,317 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:43,318 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:29:43,319 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:29:43,329 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:43,965 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:29:43,966 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:29:43,976 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:43,978 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:29:43,978 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:29:43,986 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:43,988 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:29:43,988 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:29:43,997 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:44,310 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:29:44,313 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:29:56,148 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:56,377 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 09:29:56,378 INFO    MainThread:685 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 09:29:56,763 INFO    MainThread:685 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 09:29:56,765 INFO    MainThread:685 [jupyter.py:save_ipynb():386] not saving jupyter notebook
